sscl1,sscl2,n,a,b,c1,c2,astar,bstar,cstar1,cstar2
CDEKL/B,GKL/FH,1,True,True,False,False,True,True,True,True
DEKL/BC,FHJ/I,1,True,True,False,False,True,True,True,False
DL/BCEK,GHL/FIJK,1,True,True,True,True,True,True,True,True
BCK/DEL,K/FGHL,1,True,True,True,True,True,False,True,True
DEKL/BC,I/FHJ,1,True,True,False,False,True,True,True,False
BCEK/DL,FHIJ/GL,1,True,True,True,True,True,True,True,False
DL/BCEK,FJ/IK,1,True,True,True,True,True,True,True,False
CDEKL/B,FGHIKL/J,1,True,True,False,False,True,True,True,True
CDEKL/B,GKL/I,1,True,True,False,False,True,True,True,True
DEKL/BC,GIJKL/FH,1,True,True,False,False,True,True,True,True
DEKL/BC,GKL/FH,1,True,True,False,False,True,True,True,True
B/CDEKL,FJ/GHIKL,3,True,True,True,True,True,True,False,False
BC/DEKL,/FGHIJKL,1,True,True,True,True,True,False,False,False
DEKL/BC,F/H,1,True,True,False,False,True,True,True,False
DEL/BCK,GL/IJK,1,True,True,True,True,True,True,True,True
DL/BCEK,GL/IK,1,True,True,True,True,True,True,True,True
BC/DEKL,FHIJ/GKL,3,True,True,True,True,True,True,False,False
DEKL/BC,GIKL/J,1,True,True,False,False,True,True,True,True
CDEKL/B,FGHKL/I,1,True,True,False,False,True,True,True,True
DEL/BCK,I/K,1,True,False,True,True,True,True,True,False
BCK/DEL,FHIJK/GL,1,True,True,True,True,True,True,True,True
BCK/DEL,K/GHL,1,True,True,True,True,True,False,True,True
DEKL/BC,H/,1,True,False,False,False,True,True,True,False
CDEKL/B,GIJKL/FH,1,True,True,False,False,True,True,True,True
DEKL/BC,FH/IJ,1,True,True,False,False,True,True,True,False
BCEK/DL,IK/FGHJL,1,True,True,True,True,True,True,True,True
BCK/DEL,FJ/GHL,1,True,True,True,True,True,True,True,False
DEKL/BC,I/FJ,1,True,True,False,False,True,True,True,False
CDEKL/B,FGHKL/IJ,1,True,True,False,False,True,True,True,True
DL/BCEK,GL/K,1,True,False,True,True,True,True,True,True
DL/BCEK,FGHL/K,1,True,False,True,True,True,True,True,True
DL/BCEK,GHL/K,1,True,False,True,True,True,True,True,True
BCEK/DL,FH/GL,1,True,True,True,True,True,True,True,False
DEL/BCK,FGHL/IJK,1,True,True,True,True,True,True,True,True
BCEK/DL,FIJK/GHL,1,True,True,True,True,True,True,True,True
B/CDEKL,FH/GIJKL,3,True,True,True,True,True,True,False,False
BCEK/DL,K/FGHIJL,1,True,True,True,True,True,False,True,True
DEKL/BC,FHJ/,1,True,False,False,False,True,True,True,False
